Date,diesel_price_volatility_factor_v1
2015-07-28,0.0554673076877107
2015-07-29,0.04778063298857625
2015-07-29,0.051990276867781994
2015-07-29,0.04752882166421072
2015-07-30,0.04566982957306168
2015-07-30,0.044206711404860016
2015-07-30,0.04742432568383538
2015-07-31,0.046183330324906575
2015-07-31,0.052243021861603234
2015-07-31,0.04816361005190021
2015-08-03,0.050382536656047625
2015-08-03,0.050431912294451375
2015-08-03,0.059115799729637805
2015-08-04,0.05187206484233246
2015-08-04,0.049604659278314485
2015-08-04,0.05242147566604959
2015-08-05,0.042772784700141696
2015-08-05,0.03794088969705597
2015-08-05,0.038131497623414175
2015-08-06,0.030937391973380225
2015-08-06,0.033648675058998385
2015-08-06,0.03349112651805346
2015-08-07,0.028062628369495135
2015-08-07,0.028824372401455398
2015-08-07,0.03319906290349914
2015-08-10,0.031875626353822274
2015-08-10,0.03463845005360675
2015-08-10,0.037118429084111094
2015-08-11,0.03894668720621115
2015-08-11,0.036448593935769956
2015-08-11,0.03754108859940161
2015-08-12,0.0400473331045163
2015-08-12,0.0400473331045163
2015-08-12,0.04158057772975086
2015-08-13,0.034515857867656305
2015-08-13,0.032059146725780696
2015-08-13,0.03001555152298742
2015-08-14,0.0344892898014162
2015-08-14,0.031166399284160783
2015-08-14,0.031103590359127638
2015-08-17,0.029848506381865356
2015-08-17,0.02990150497707462
2015-08-17,0.029923792093039706
2015-08-18,0.02471639132020922
2015-08-18,0.02884537320696277
2015-08-18,0.026251137539453937
2015-08-19,0.026463601835633222
2015-08-19,0.03515110239938802
2015-08-19,0.03494821565787962
2015-08-20,0.046045388234528646
2015-08-20,0.04192904058447245
2015-08-20,0.04213997837763492
2015-08-21,0.045843816981617096
2015-08-21,0.040314871806523905
2015-08-21,0.04009100757995703
2015-08-24,0.03966092395261087
2015-08-24,0.04935404970320614
2015-08-24,0.051484733442657776
2015-08-25,0.04742819133401492
2015-08-25,0.05537388072501732
2015-08-25,0.05058820679315993
2015-08-26,0.04154315025624846
2015-08-26,0.044684076207815504
2015-08-26,0.037433793406058166
2015-08-27,0.035295734710689336
2015-08-27,0.05165225605368089
2015-08-27,0.05916126735826822
2015-08-28,0.0770873242202511
2015-08-28,0.08213193992253845
2015-08-28,0.08265483786269465
2015-08-31,0.10241614456010134
2015-08-31,0.10596540315856877
2015-08-31,0.08803761822150863
2015-09-01,0.06950051958163861
2015-09-01,0.062172609187883844
2015-09-01,0.057969436390671016
2015-09-02,0.052536653870391595
2015-09-02,0.052317938286635744
2015-09-02,0.05086463517031065
2015-09-03,0.05070218053505253
2015-09-03,0.039779391648154305
2015-09-03,0.03384671328055692
2015-09-04,0.03138364754500786
2015-09-04,0.031387187759523705
2015-09-04,0.029341665481520816
2015-09-08,0.03432864045445588
2015-09-08,0.03339144933638314
2015-09-08,0.03216018932893555
2015-09-09,0.03697686964554579
2015-09-09,0.03458467868716042
2015-09-09,0.03534653841142881
2015-09-10,0.035400721899472666
2015-09-10,0.032561224381552054
2015-09-10,0.031616627128818256
2015-09-11,0.03159465496114627
2015-09-11,0.03638085577000472
2015-09-11,0.03537497545977328
2015-09-14,0.037426075281818676
2015-09-14,0.040108325540547635
2015-09-14,0.038105700942678705
2015-09-15,0.04509299033847318
2015-09-15,0.04267395770905488
2015-09-15,0.034598651224480234
2015-09-16,0.0345332368064544
2015-09-16,0.02819002975634361
2015-09-16,0.03664984462446613
2015-09-17,0.03560586718033821
2015-09-17,0.0361553745796952
2015-09-17,0.03767757953859032
2015-09-18,0.04368434756418062
2015-09-18,0.04087596413946252
2015-09-18,0.04011441968360911
2015-09-21,0.03979405315562737
2015-09-21,0.03998346880479963
2015-09-21,0.04635718810254486
2015-09-22,0.043045195884959454
2015-09-22,0.04492969817017486
2015-09-22,0.04539211874686736
2015-09-23,0.04742760564969305
2015-09-23,0.04531237260392728
2015-09-23,0.04560275332693907
2015-09-24,0.048858071093710605
2015-09-24,0.05185406873459402
2015-09-24,0.05244510357293695
2015-09-25,0.04616263520183141
2015-09-25,0.04594743373198447
2015-09-25,0.043006976176995004
2015-09-28,0.04195513476586328
2015-09-28,0.043253901556834826
2015-09-28,0.04296044692374765
2015-09-29,0.04315089801948734
2015-09-29,0.04491720778769312
2015-09-29,0.044045557222020595
2015-09-30,0.045492978700003565
2015-09-30,0.04659089085861167
2015-09-30,0.046219764890727676
2015-10-01,0.044280545011943596
2015-10-01,0.04501419529065752
2015-10-01,0.037526287081339316
2015-10-02,0.03818216570163409
2015-10-02,0.040472761758165915
2015-10-02,0.03258902337189549
