factor_a,factor_b,pearson_r,abs_pearson_r
PDF_F6_Heating_Seasonal_15d,diesel_price_volatility_factor_v1,0.253997,0.253997
PDF_F6_Heating_Seasonal_15d,diesel_momentum_factor_10d,0.021304,0.021304
PDF_F7_Heating_Crack_Reversal_10d,PDF_F8_Heating_Vol_Regime_5d,-0.056093,0.056093
PDF_F7_Heating_Crack_Reversal_10d,PDF_F9_Composite_Product_Mom_20d,-0.2169,0.2169
PDF_F7_Heating_Crack_Reversal_10d,PDF_F10_Product_Spread_Div_15d,0.007039,0.007039
PDF_F7_Heating_Crack_Reversal_10d,PDF_F11_Diesel_Gas_Ratio_Mom_10d,-0.11731,0.11731
PDF_F7_Heating_Crack_Reversal_10d,PDF_F12_Refinery_Margin_Pressure_20d,-0.386059,0.386059
PDF_F7_Heating_Crack_Reversal_10d,PDF_F13_Demand_Structure_Shift_30d,0.174027,0.174027
PDF_F7_Heating_Crack_Reversal_10d,Refinery_Operating_Profitability_Factor_v1,0.119789,0.119789
PDF_F7_Heating_Crack_Reversal_10d,usgc_singapore_margin_spread_factor_v1,-0.140142,0.140142
PDF_F7_Heating_Crack_Reversal_10d,Oil Consumption Momentum Factor,-0.113765,0.113765
PDF_F7_Heating_Crack_Reversal_10d,diesel_price_volatility_factor_v1,-0.162439,0.162439
PDF_F7_Heating_Crack_Reversal_10d,diesel_momentum_factor_10d,-0.16992,0.16992
PDF_F8_Heating_Vol_Regime_5d,PDF_F9_Composite_Product_Mom_20d,-0.13265,0.13265
PDF_F8_Heating_Vol_Regime_5d,PDF_F10_Product_Spread_Div_15d,-0.029774,0.029774
PDF_F8_Heating_Vol_Regime_5d,PDF_F11_Diesel_Gas_Ratio_Mom_10d,0.021442,0.021442
PDF_F8_Heating_Vol_Regime_5d,PDF_F12_Refinery_Margin_Pressure_20d,-0.019661,0.019661
PDF_F8_Heating_Vol_Regime_5d,PDF_F13_Demand_Structure_Shift_30d,-0.06838,0.06838
PDF_F8_Heating_Vol_Regime_5d,Refinery_Operating_Profitability_Factor_v1,0.03257,0.03257
PDF_F8_Heating_Vol_Regime_5d,usgc_singapore_margin_spread_factor_v1,0.024015,0.024015
PDF_F8_Heating_Vol_Regime_5d,Oil Consumption Momentum Factor,-0.020049,0.020049
PDF_F8_Heating_Vol_Regime_5d,diesel_price_volatility_factor_v1,0.144542,0.144542
PDF_F8_Heating_Vol_Regime_5d,diesel_momentum_factor_10d,-0.053009,0.053009
PDF_F9_Composite_Product_Mom_20d,PDF_F10_Product_Spread_Div_15d,0.014889,0.014889
PDF_F9_Composite_Product_Mom_20d,PDF_F11_Diesel_Gas_Ratio_Mom_10d,-0.081647,0.081647
PDF_F9_Composite_Product_Mom_20d,PDF_F12_Refinery_Margin_Pressure_20d,0.295729,0.295729
PDF_F9_Composite_Product_Mom_20d,PDF_F13_Demand_Structure_Shift_30d,0.119668,0.119668
PDF_F9_Composite_Product_Mom_20d,Refinery_Operating_Profitability_Factor_v1,-0.116036,0.116036
PDF_F9_Composite_Product_Mom_20d,usgc_singapore_margin_spread_factor_v1,-0.038841,0.038841
PDF_F9_Composite_Product_Mom_20d,Oil Consumption Momentum Factor,0.069635,0.069635
PDF_F9_Composite_Product_Mom_20d,diesel_price_volatility_factor_v1,0.007093,0.007093
PDF_F9_Composite_Product_Mom_20d,diesel_momentum_factor_10d,0.425499,0.425499
PDF_F10_Product_Spread_Div_15d,PDF_F11_Diesel_Gas_Ratio_Mom_10d,-0.019138,0.019138
PDF_F10_Product_Spread_Div_15d,PDF_F12_Refinery_Margin_Pressure_20d,0.025572,0.025572
PDF_F10_Product_Spread_Div_15d,PDF_F13_Demand_Structure_Shift_30d,0.168249,0.168249
PDF_F10_Product_Spread_Div_15d,Refinery_Operating_Profitability_Factor_v1,-0.053363,0.053363
PDF_F10_Product_Spread_Div_15d,usgc_singapore_margin_spread_factor_v1,-0.052362,0.052362
PDF_F10_Product_Spread_Div_15d,Oil Consumption Momentum Factor,-0.196728,0.196728
PDF_F10_Product_Spread_Div_15d,diesel_price_volatility_factor_v1,-0.012458,0.012458
PDF_F10_Product_Spread_Div_15d,diesel_momentum_factor_10d,0.033018,0.033018
PDF_F11_Diesel_Gas_Ratio_Mom_10d,PDF_F12_Refinery_Margin_Pressure_20d,-0.03506,0.03506
PDF_F11_Diesel_Gas_Ratio_Mom_10d,PDF_F13_Demand_Structure_Shift_30d,-0.34411,0.34411
PDF_F11_Diesel_Gas_Ratio_Mom_10d,Refinery_Operating_Profitability_Factor_v1,0.004347,0.004347
PDF_F11_Diesel_Gas_Ratio_Mom_10d,usgc_singapore_margin_spread_factor_v1,-0.031876,0.031876
PDF_F11_Diesel_Gas_Ratio_Mom_10d,Oil Consumption Momentum Factor,-0.019458,0.019458
PDF_F11_Diesel_Gas_Ratio_Mom_10d,diesel_price_volatility_factor_v1,0.036411,0.036411
PDF_F11_Diesel_Gas_Ratio_Mom_10d,diesel_momentum_factor_10d,0.267509,0.267509
PDF_F12_Refinery_Margin_Pressure_20d,PDF_F13_Demand_Structure_Shift_30d,0.077595,0.077595
PDF_F12_Refinery_Margin_Pressure_20d,Refinery_Operating_Profitability_Factor_v1,-0.1528,0.1528
PDF_F12_Refinery_Margin_Pressure_20d,usgc_singapore_margin_spread_factor_v1,0.027133,0.027133
PDF_F12_Refinery_Margin_Pressure_20d,Oil Consumption Momentum Factor,0.169632,0.169632
PDF_F12_Refinery_Margin_Pressure_20d,diesel_price_volatility_factor_v1,0.131602,0.131602
PDF_F12_Refinery_Margin_Pressure_20d,diesel_momentum_factor_10d,0.046872,0.046872
PDF_F13_Demand_Structure_Shift_30d,Refinery_Operating_Profitability_Factor_v1,0.004499,0.004499
PDF_F13_Demand_Structure_Shift_30d,usgc_singapore_margin_spread_factor_v1,-0.021485,0.021485
PDF_F13_Demand_Structure_Shift_30d,Oil Consumption Momentum Factor,-0.079997,0.079997
PDF_F13_Demand_Structure_Shift_30d,diesel_price_volatility_factor_v1,-0.105031,0.105031
PDF_F13_Demand_Structure_Shift_30d,diesel_momentum_factor_10d,-0.009429,0.009429
Refinery_Operating_Profitability_Factor_v1,usgc_singapore_margin_spread_factor_v1,0.484252,0.484252
Refinery_Operating_Profitability_Factor_v1,Oil Consumption Momentum Factor,-0.048711,0.048711
Refinery_Operating_Profitability_Factor_v1,diesel_price_volatility_factor_v1,0.139231,0.139231
Refinery_Operating_Profitability_Factor_v1,diesel_momentum_factor_10d,-0.056074,0.056074
usgc_singapore_margin_spread_factor_v1,Oil Consumption Momentum Factor,0.155916,0.155916
usgc_singapore_margin_spread_factor_v1,diesel_price_volatility_factor_v1,0.30412,0.30412
usgc_singapore_margin_spread_factor_v1,diesel_momentum_factor_10d,-0.01662,0.01662
Oil Consumption Momentum Factor,diesel_price_volatility_factor_v1,0.011558,0.011558
Oil Consumption Momentum Factor,diesel_momentum_factor_10d,0.031046,0.031046
diesel_price_volatility_factor_v1,diesel_momentum_factor_10d,-0.011409,0.011409
